time,time_ms,latitude,longitude,elevation,airspeed,pressure_diff,temp,satellites,lat_smooth,lon_smooth,ground_speed_mps,track_deg
22:34:46,146070,34.01913071,-118.44748688,54.9,20.54,258.39,41.09,7,34.01913859133334,-118.44742635266667,0.7627625012016054,346.67448577056405
22:34:47,146282,34.01909637,-118.44754028,54.9,19.2,225.77,41.09,7,34.01913528466667,-118.447440594,1.1019635819829792,320.34617532405673
22:34:47,146515,34.01909637,-118.44754028,55.5,25.97,413.04,40.62,7,34.01913223266667,-118.44745127466666,1.101963578014426,320.34617568532013
22:34:47,146718,34.01909637,-118.44754028,55.5,20.07,246.82,41.09,7,34.01912918066667,-118.44746195533334,1.101963568889674,320.3461764535408
22:34:47,146919,34.01909637,-118.44754028,55.5,19.82,240.5,41.09,7,34.01912612866666,-118.44747263599999,0.7627624940211315,346.67448612725923
22:34:47,147119,34.01909637,-118.44754028,55.5,25.67,403.57,41.09,7,34.019123076666666,-118.44748331666666,0.7627625012016054,346.67448577056405
22:34:48,147373,34.01906586,-118.44759369,55.6,25.23,389.9,41.09,7,34.019117990666665,-118.447497558,1.1019635819829792,320.34617532405673
22:34:48,147609,34.01906586,-118.44759369,55.6,30.19,558.23,41.09,7,34.01911290466667,-118.44750823933333,1.101963578014426,320.34617568532013
22:34:48,147809,34.01906586,-118.44759369,55.6,30.37,565.07,41.09,7,34.01910781866666,-118.44751892066667,1.101963568889674,320.3461764535408
22:34:48,148009,34.01906586,-118.44759369,55.6,30.23,559.81,41.09,7,34.01910273266667,-118.447529602,0.7627624940211315,346.67448612725923
22:34:49,148209,34.0190239,-118.44765472,55.6,28.61,501.42,41.09,7,34.019094849333335,-118.44754435200001,0.7627625012016054,346.67448577056405
22:34:49,148444,34.0190239,-118.44765472,55.5,32.37,641.87,41.09,7,34.01908772866667,-118.44755554133333,1.1019635819829792,320.34617532405673
22:34:49,148657,34.0190239,-118.44765472,55.5,30.0,551.39,41.09,7,34.019080607999996,-118.44756673066667,1.101963578014426,320.34617568532013
22:34:49,148858,34.0190239,-118.44765472,55.5,28.97,514.04,41.09,7,34.01907348733333,-118.44757792,1.101963568889674,320.3461764535408
22:34:49,149062,34.0190239,-118.44765472,55.5,37.39,856.49,41.09,7,34.01906636666667,-118.44758910933334,0.7627624940211315,346.67448612725923
22:34:50,149269,34.01896667,-118.44771576,55.5,31.7,615.57,40.62,7,34.01905543066667,-118.447604368,0.7627625012016054,346.67448577056405
22:34:50,149502,34.01896667,-118.44771576,55.0,31.73,616.62,40.15,7,34.019046784,-118.44761606666665,1.1019635819829792,320.34617532405673
